T	<m>	d<m>	suscep
4.100	-0.000	0.125	250.797
4.060	-0.002	0.127	258.805
4.020	-0.003	0.128	269.147
3.980	0.001	0.131	283.522
3.940	-0.000	0.130	281.800
3.900	-0.001	0.131	290.353
3.860	0.002	0.136	315.538
3.820	-0.002	0.136	318.043
3.780	-0.000	0.140	337.405
3.740	-0.001	0.142	355.748
3.700	-0.001	0.144	367.703
3.660	0.002	0.144	371.120
3.620	0.001	0.148	394.685
3.580	0.002	0.152	420.744
3.540	-0.006	0.152	428.489
3.500	0.003	0.155	451.393
3.460	-0.004	0.158	473.970
3.420	0.003	0.161	499.704
3.380	0.001	0.162	510.746
3.340	0.002	0.169	560.143
3.300	0.002	0.172	584.387
3.260	0.002	0.176	626.019
3.220	-0.001	0.183	680.925
3.180	0.005	0.187	718.915
3.140	-0.004	0.190	757.341
3.100	0.006	0.200	845.273
3.060	-0.006	0.198	841.770
3.020	0.001	0.207	930.996
2.980	0.006	0.212	987.698
2.940	-0.001	0.224	1119.496
2.900	0.004	0.238	1282.434
2.860	0.020	0.245	1371.724
2.820	-0.010	0.256	1526.975
2.780	-0.002	0.267	1677.036
2.740	-0.010	0.286	1959.535
2.700	0.008	0.307	2279.901
2.660	0.016	0.318	2486.703
2.620	-0.002	0.353	3113.681
2.580	0.024	0.377	3619.051
2.540	0.014	0.394	3998.319
2.500	-0.060	0.455	5426.534
2.460	0.005	0.478	6076.498
2.420	0.028	0.558	8429.830
2.380	0.042	0.591	9614.663
2.340	0.185	0.628	11036.086
2.300	-0.193	0.670	12781.370
2.260	0.038	0.742	15978.735
2.220	-0.151	0.771	17542.664
2.180	0.244	0.783	18425.826
2.140	0.802	0.293	2636.122
2.100	0.721	0.497	7721.219
2.060	0.893	0.077	187.343
1.980	-0.918	0.048	76.845
1.940	-0.929	0.043	63.444
1.900	-0.937	0.039	53.754
1.860	-0.947	0.033	39.522
1.820	-0.954	0.029	30.997
1.780	-0.961	0.026	24.723
1.740	-0.965	0.024	21.532
1.700	-0.970	0.022	17.992
1.660	-0.974	0.019	13.884
1.620	-0.978	0.018	11.895
1.580	-0.981	0.015	8.562
1.540	-0.984	0.014	7.171
1.500	-0.986	0.013	5.221
1.460	-0.989	0.011	3.896
1.420	-0.993	0.011	3.733
1.380	-0.992	0.009	1.947
1.340	-0.986	0.008	-0.128
1.300	-0.995	0.007	0.931
1.260	-0.997	0.007	0.865
1.220	-1.000	0.007	0.717
1.180	-0.991	0.006	-2.397
1.140	-0.998	0.004	0.206
1.100	-0.998	0.004	0.099
1.060	-0.999	0.003	0.033
1.020	-0.999	0.003	0.004
0.980	-0.999	0.002	0.048
0.940	-1.000	0.003	0.025
0.900	-1.000	0.002	0.004
0.860	-1.000	0.001	0.014
0.820	-1.000	0.001	0.005
0.780	-1.000	0.001	-0.005
0.740	-1.000	0.001	0.000
0.700	-0.997	0.004	-0.686
0.660	-1.000	0.000	-0.006
0.620	-1.000	0.000	0.000
0.580	-1.000	0.000	-0.007
0.540	-1.000	0.000	0.000
0.500	-1.000	0.000	-0.008
0.460	-1.000	0.000	0.000
0.420	-1.000	0.000	0.000
0.380	-1.000	0.000	0.000
0.340	-1.000	0.000	0.000
0.300	-1.000	0.000	0.000
0.260	-1.000	0.000	0.000
0.220	-1.001	0.002	-0.107
0.180	-0.999	0.003	-0.434
0.140	-1.007	0.002	-25.335
