k		corr_k
37200		0.021166
37300		0.014470
37400		0.009231
37500		0.006819
37600		0.005983
37700		0.004544
37800		0.007008
37900		0.009297
38000		0.011434
38100		0.011726
38200		0.013740
38300		0.015626
38400		0.017688
38500		0.022085
38600		0.027176
38700		0.032244
38800		0.038959
38900		0.046091
39000		0.051670
39100		0.054120
39200		0.056983
39300		0.059725
39400		0.062050
39500		0.063645
39600		0.062252
39700		0.061104
39800		0.061012
39900		0.058509
40000		0.054598
40100		0.051372
40200		0.050139
40300		0.050894
40400		0.052980
40500		0.052544
40600		0.051518
40700		0.048404
40800		0.041784
40900		0.035644
41000		0.031878
41100		0.029203
41200		0.026660
41300		0.026731
41400		0.026741
41500		0.025629
41600		0.022164
41700		0.019192
41800		0.015657
41900		0.011628
42000		0.008392
42100		0.005509
42200		0.002209
42300		0.002225
42400		0.002008
42500		0.003289
42600		0.004457
42700		0.005380
42800		0.006741
42900		0.005583
43000		0.004743
43100		0.001196
43200		-0.000814
43300		-0.002249
43400		-0.003631
43500		-0.003073
43600		-0.003485
43700		-0.004175
43800		-0.006039
43900		-0.008664
44000		-0.011705
44100		-0.014457
44200		-0.016796
44300		-0.020177
44400		-0.022999
44500		-0.023909
44600		-0.024373
44700		-0.025076
44800		-0.025252
44900		-0.024658
45000		-0.023733
45100		-0.020456
45200		-0.018242
45300		-0.016274
45400		-0.015281
45500		-0.017954
45600		-0.021590
45700		-0.023168
45800		-0.022919
45900		-0.022696
46000		-0.023259
46100		-0.022958
46200		-0.020246
46300		-0.015807
46400		-0.013128
46500		-0.011458
46600		-0.008413
46700		-0.004553
46800		-0.001000
46900		0.001971
47000		0.005083
47100		0.008367
47200		0.010357
47300		0.010086
47400		0.010085
47500		0.008273
47600		0.005899
47700		0.004531
47800		0.002924
47900		0.003819
48000		0.001413
48100		0.001596
48200		0.002913
48300		0.004327
48400		0.005351
48500		0.005744
48600		0.005943
48700		0.004531
48800		0.006113
48900		0.008196
49000		0.008714
49100		0.009228
49200		0.010978
49300		0.014944
49400		0.017324
49500		0.016898
49600		0.016240
49700		0.015175
49800		0.012007
49900		0.009172
50000		0.005378
50100		0.002094
50200		0.000754
50300		0.002472
50400		0.004617
50500		0.009191
50600		0.014315
50700		0.018053
50800		0.021287
50900		0.025494
51000		0.029883
51100		0.033898
51200		0.035466
51300		0.037382
51400		0.038709
51500		0.039851
51600		0.038476
51700		0.037577
51800		0.035349
51900		0.030695
52000		0.027526
52100		0.023779
52200		0.021435
52300		0.020576
52400		0.018261
52500		0.016209
52600		0.014285
52700		0.012765
52800		0.011055
52900		0.012758
53000		0.013252
53100		0.009671
53200		0.008610
53300		0.010383
53400		0.010974
53500		0.010640
53600		0.009408
53700		0.009193
53800		0.009535
53900		0.009289
54000		0.009227
54100		0.009783
54200		0.010703
54300		0.010739
54400		0.010618
54500		0.010514
54600		0.009585
54700		0.007622
54800		0.005660
54900		0.004318
55000		0.003150
55100		0.001429
55200		-0.003582
55300		-0.006881
55400		-0.009443
55500		-0.011849
55600		-0.013040
55700		-0.014845
55800		-0.017859
55900		-0.019793
56000		-0.019795
56100		-0.019331
56200		-0.019969
56300		-0.019813
56400		-0.017003
56500		-0.015986
56600		-0.015569
56700		-0.016126
56800		-0.016014
56900		-0.014943
57000		-0.017215
57100		-0.019524
57200		-0.022117
57300		-0.026703
57400		-0.028452
57500		-0.029483
57600		-0.028955
57700		-0.028323
57800		-0.026552
57900		-0.025108
58000		-0.025046
58100		-0.024754
58200		-0.024996
58300		-0.024738
58400		-0.028619
58500		-0.029855
58600		-0.029425
58700		-0.028835
58800		-0.026859
58900		-0.027181
59000		-0.024427
59100		-0.021293
59200		-0.020595
59300		-0.021468
59400		-0.022280
59500		-0.020896
59600		-0.019557
59700		-0.018013
59800		-0.014192
59900		-0.009176
60000		-0.000409
60100		0.006853
60200		0.012980
60300		0.018585
60400		0.022738
60500		0.024495
60600		0.026025
60700		0.026659
60800		0.027561
60900		0.029931
61000		0.030832
61100		0.030307
61200		0.030739
61300		0.029839
61400		0.029454
61500		0.027987
61600		0.026675
61700		0.024805
61800		0.022036
61900		0.020365
62000		0.020147
62100		0.018739
62200		0.017161
62300		0.013960
62400		0.010649
62500		0.008850
62600		0.007080
62700		0.006157
62800		0.004977
62900		0.003869
63000		0.001685
63100		-0.002391
63200		-0.005659
63300		-0.008784
63400		-0.013020
63500		-0.015857
63600		-0.016149
63700		-0.015697
63800		-0.014006
63900		-0.012121
64000		-0.009366
64100		-0.005032
64200		0.001761
64300		0.006347
64400		0.009873
64500		0.011493
64600		0.011959
64700		0.010423
64800		0.007808
64900		0.005410
65000		0.003117
65100		-0.000782
65200		-0.005926
65300		-0.009763
65400		-0.013803
65500		-0.019347
65600		-0.022557
65700		-0.022912
65800		-0.022976
65900		-0.021886
66000		-0.017904
66100		-0.013529
66200		-0.008551
66300		-0.004081
66400		-0.002991
66500		-0.003805
66600		-0.004102
66700		-0.004533
66800		-0.004236
66900		-0.002924
67000		-0.001604
67100		-0.000993
67200		-0.001989
67300		-0.003842
67400		-0.005654
67500		-0.007983
67600		-0.010600
67700		-0.011780
67800		-0.013084
67900		-0.012644
68000		-0.011549
68100		-0.008973
68200		-0.003815
68300		-0.000475
68400		0.001990
68500		0.005837
68600		0.006913
68700		0.008671
68800		0.010364
68900		0.010746
69000		0.010800
69100		0.012133
69200		0.013919
69300		0.015647
69400		0.017709
69500		0.017407
69600		0.017032
69700		0.015879
69800		0.014662
69900		0.013625
70000		0.013709
70100		0.014604
70200		0.014049
70300		0.013393
70400		0.012869
70500		0.015883
70600		0.018795
70700		0.021364
70800		0.025821
70900		0.029609
71000		0.033055
71100		0.035920
71200		0.038232
71300		0.041059
71400		0.043192
71500		0.043933
71600		0.045119
71700		0.043581
71800		0.039767
71900		0.037191
72000		0.032557
72100		0.028996
72200		0.025360
72300		0.022059
72400		0.020256
72500		0.016681
72600		0.014930
72700		0.011998
72800		0.008846
72900		0.005636
73000		0.001184
73100		-0.005354
73200		-0.012812
73300		-0.017071
73400		-0.022241
73500		-0.029091
73600		-0.035674
73700		-0.038404
73800		-0.041770
73900		-0.041633
74000		-0.039110
74100		-0.035138
74200		-0.029220
74300		-0.025253
74400		-0.021907
74500		-0.015667
74600		-0.011187
74700		-0.007049
74800		-0.003740
74900		0.001113
75000		0.006767
75100		0.010322
75200		0.011666
75300		0.010761
75400		0.010898
75500		0.010582
75600		0.009663
75700		0.008096
75800		0.006215
75900		0.004764
76000		0.003016
76100		0.000755
76200		-0.004128
76300		-0.006600
76400		-0.006521
76500		-0.004822
76600		-0.002960
76700		0.001701
76800		0.008648
76900		0.015309
77000		0.022212
77100		0.028093
77200		0.030800
77300		0.032698
77400		0.033617
77500		0.032813
77600		0.031831
77700		0.032342
77800		0.032140
77900		0.029107
78000		0.024267
78100		0.020000
78200		0.015634
78300		0.011652
78400		0.008721
78500		0.007012
78600		0.004298
78700		0.002569
78800		0.002312
78900		0.002855
79000		0.004210
79100		0.005332
79200		0.005599
79300		0.008175
79400		0.010068
79500		0.010107
79600		0.008411
79700		0.010135
79800		0.013165
79900		0.014342
80000		0.017076
80100		0.017889
80200		0.015758
80300		0.014735
80400		0.013275
80500		0.009708
80600		0.006883
80700		0.003280
80800		0.000593
80900		0.000392
81000		-0.000028
81100		-0.000212
81200		-0.000195
81300		-0.000617
81400		-0.000128
81500		0.000735
81600		0.002263
81700		0.003718
81800		0.004713
81900		0.005118
82000		0.005543
82100		0.004798
82200		0.003573
82300		0.002693
82400		0.002505
82500		0.001418
82600		-0.001501
82700		-0.003331
82800		-0.005402
82900		-0.008933
83000		-0.011780
83100		-0.012398
83200		-0.015455
83300		-0.017697
83400		-0.019441
83500		-0.020700
83600		-0.019596
83700		-0.020386
83800		-0.020806
83900		-0.021946
84000		-0.023561
84100		-0.024248
84200		-0.024677
84300		-0.024598
84400		-0.024358
84500		-0.024705
84600		-0.024501
84700		-0.024401
84800		-0.022586
84900		-0.021639
85000		-0.019371
85100		-0.013618
85200		-0.009367
85300		-0.005052
85400		-0.000500
85500		0.005309
85600		0.011621
