k		corr_k
0		1.000000
100		0.976689
200		0.953671
300		0.930724
400		0.908253
500		0.886321
600		0.864489
700		0.842675
800		0.821691
900		0.801661
1000		0.782041
1100		0.763027
1200		0.744597
1300		0.726412
1400		0.708911
1500		0.692391
1600		0.676348
1700		0.660925
1800		0.646384
1900		0.632662
2000		0.619506
2100		0.606509
2200		0.593138
2300		0.579824
2400		0.567189
2500		0.554638
2600		0.542529
2700		0.530484
2800		0.518256
2900		0.505758
3000		0.493160
3100		0.481211
3200		0.469640
3300		0.457997
3400		0.446913
3500		0.436069
3600		0.424977
3700		0.414074
3800		0.403328
3900		0.392886
4000		0.382217
4100		0.371703
4200		0.361296
4300		0.351014
4400		0.341271
4500		0.331477
4600		0.321811
4700		0.312854
4800		0.303997
4900		0.295042
5000		0.285865
5100		0.276292
5200		0.266358
5300		0.257311
5400		0.248382
5500		0.239575
5600		0.230595
5700		0.221315
5800		0.212155
5900		0.203209
6000		0.194775
6100		0.186337
6200		0.178231
6300		0.170268
6400		0.162416
6500		0.155429
6600		0.149192
6700		0.142585
6800		0.135895
6900		0.129354
7000		0.123342
7100		0.117606
7200		0.111994
7300		0.106630
7400		0.101129
7500		0.095713
7600		0.090160
7700		0.084811
7800		0.080108
7900		0.075594
8000		0.070642
8100		0.066016
8200		0.061081
8300		0.056172
8400		0.051632
8500		0.047244
8600		0.042608
8700		0.037829
8800		0.033529
8900		0.029489
9000		0.026018
9100		0.022645
9200		0.019613
9300		0.016987
9400		0.014612
9500		0.013079
9600		0.011378
9700		0.009570
9800		0.007692
9900		0.005858
10000		0.004104
10100		0.002904
10200		0.002110
10300		0.001079
10400		-0.000651
10500		-0.002629
10600		-0.004402
10700		-0.005979
10800		-0.007702
10900		-0.008789
11000		-0.009477
11100		-0.010461
11200		-0.011401
11300		-0.011340
11400		-0.011027
11500		-0.010665
11600		-0.010805
11700		-0.011007
11800		-0.011338
11900		-0.011894
12000		-0.012526
12100		-0.012689
12200		-0.012400
12300		-0.012197
12400		-0.011859
12500		-0.011945
12600		-0.012157
12700		-0.012039
12800		-0.011452
12900		-0.010921
13000		-0.010322
13100		-0.009536
13200		-0.009219
13300		-0.008896
13400		-0.008021
13500		-0.007567
13600		-0.008144
13700		-0.008539
13800		-0.009113
13900		-0.009297
14000		-0.009427
14100		-0.008960
14200		-0.008046
14300		-0.007282
14400		-0.006205
14500		-0.004762
14600		-0.003150
14700		-0.002314
14800		-0.001850
14900		-0.001336
15000		-0.000423
15100		0.000448
15200		0.001614
15300		0.003135
15400		0.004657
15500		0.006683
15600		0.008408
15700		0.009966
15800		0.011679
15900		0.013430
16000		0.014619
16100		0.015099
16200		0.015055
16300		0.014943
16400		0.014256
16500		0.013544
16600		0.013179
16700		0.012199
16800		0.011332
16900		0.010859
17000		0.010384
17100		0.009810
17200		0.009604
17300		0.009877
17400		0.009603
17500		0.009462
17600		0.008770
17700		0.008565
17800		0.007961
17900		0.007094
18000		0.004982
18100		0.003041
18200		0.001037
18300		-0.000886
18400		-0.003378
18500		-0.006284
18600		-0.009202
18700		-0.011769
18800		-0.013873
18900		-0.015704
19000		-0.017348
19100		-0.019153
19200		-0.021397
19300		-0.024770
19400		-0.028344
19500		-0.031861
19600		-0.035996
19700		-0.040667
19800		-0.044880
19900		-0.048891
20000		-0.052488
20100		-0.055616
20200		-0.058606
20300		-0.061441
20400		-0.063879
20500		-0.066703
20600		-0.070028
