   5.000	   0.001
   4.910	   0.001
   4.820	   0.002
   4.730	   0.003
   4.640	   0.000
   4.550	   0.002
   4.460	   0.007
   4.370	   0.004
   4.280	   0.001
   4.190	   0.004
   4.100	   0.001
   4.010	   0.005
   3.920	   0.001
   3.830	   0.003
   3.740	   0.005
   3.650	   0.010
   3.560	   0.011
   3.470	   0.007
   3.380	   0.010
   3.290	   0.004
   3.200	   0.007
   3.110	   0.006
   3.020	   0.019
   2.930	   0.007
   2.840	   0.003
   2.750	   0.001
   2.660	   0.030
   2.570	   0.052
   2.480	   0.201
   2.390	   0.480
   2.300	   0.681
   2.210	   0.796
   2.120	   0.824
   2.030	   0.902
   1.940	   0.928
   1.850	   0.945
   1.760	   0.960
   1.670	   0.978
   1.580	   0.989
   1.490	   0.994
   1.400	   0.998
   1.310	   0.999
   1.220	   1.000
   1.130	   1.000
   1.040	   1.000
   0.950	   1.000
   0.860	   1.000
   0.770	   1.000
   0.680	   1.000
   0.590	   1.000
