T	<e>	d<e>	cv
4.100	-0.537	0.051	0.160
4.060	-0.547	0.054	0.178
4.020	-0.558	0.054	0.188
3.980	-0.558	0.051	0.167
3.940	-0.569	0.055	0.198
3.900	-0.576	0.052	0.182
3.860	-0.583	0.052	0.185
3.820	-0.592	0.054	0.205
3.780	-0.592	0.053	0.198
3.740	-0.609	0.050	0.182
3.700	-0.614	0.052	0.205
3.660	-0.623	0.053	0.216
3.620	-0.629	0.055	0.237
3.580	-0.641	0.055	0.241
3.540	-0.653	0.054	0.241
3.500	-0.658	0.051	0.217
3.460	-0.671	0.050	0.215
3.420	-0.679	0.057	0.289
3.380	-0.692	0.057	0.296
3.340	-0.702	0.060	0.326
3.300	-0.713	0.056	0.297
3.260	-0.722	0.055	0.287
3.220	-0.741	0.057	0.317
3.180	-0.756	0.060	0.369
3.140	-0.761	0.056	0.328
3.100	-0.782	0.057	0.346
3.060	-0.799	0.057	0.356
3.020	-0.805	0.058	0.375
2.980	-0.820	0.059	0.398
2.940	-0.843	0.059	0.414
2.900	-0.857	0.061	0.446
2.860	-0.879	0.061	0.467
2.820	-0.896	0.061	0.475
2.780	-0.913	0.063	0.519
2.740	-0.951	0.066	0.595
2.700	-0.972	0.066	0.615
2.660	-0.973	0.063	0.575
2.620	-1.017	0.063	0.594
2.580	-1.051	0.069	0.729
2.540	-1.076	0.067	0.714
2.500	-1.154	0.076	0.953
2.460	-1.159	0.078	1.038
2.420	-1.165	0.074	0.960
2.380	-1.237	0.084	1.288
2.340	-1.317	0.083	1.299
2.300	-1.373	0.087	1.449
2.260	-1.465	0.083	1.378
2.220	-1.538	0.081	1.361
2.180	-1.576	0.064	0.869
2.140	-1.626	0.065	0.943
2.100	-1.657	0.060	0.847
2.060	-1.699	0.058	0.820
2.020	-1.734	0.055	0.765
1.980	-1.760	0.054	0.751
1.940	-1.780	0.049	0.654
1.900	-1.806	0.045	0.569
1.860	-1.832	0.038	0.421
1.820	-1.846	0.040	0.494
1.780	-1.868	0.035	0.394
1.740	-1.885	0.034	0.387
1.700	-1.901	0.030	0.314
1.660	-1.910	0.030	0.326
1.620	-1.923	0.026	0.268
1.580	-1.934	0.024	0.231
1.540	-1.943	0.022	0.214
1.500	-1.951	0.020	0.187
1.460	-1.956	0.019	0.175
1.420	-1.965	0.018	0.166
1.380	-1.970	0.016	0.134
1.340	-1.975	0.014	0.107
1.300	-1.979	0.013	0.101
1.260	-1.984	0.012	0.079
1.220	-1.987	0.011	0.069
1.180	-1.990	0.009	0.053
1.140	-1.992	0.008	0.040
1.100	-1.994	0.007	0.030
1.060	-1.996	0.006	0.022
1.020	-1.997	0.005	0.022
0.980	-1.997	0.005	0.015
0.940	-1.998	0.004	0.008
0.900	-1.999	0.003	0.005
0.860	-1.999	0.003	0.007
0.820	-2.000	0.002	0.003
0.780	-2.000	0.002	0.004
0.740	-2.000	0.001	0.001
0.700	-2.000	0.001	0.001
0.660	-2.000	0.000	0.000
0.620	-2.000	0.001	0.001
0.580	-2.000	0.000	0.000
0.540	-2.000	0.000	0.000
0.500	-2.000	0.000	0.000
0.460	-2.000	0.000	0.000
0.420	-2.000	0.000	0.000
0.380	-2.000	0.000	0.000
0.340	-2.000	0.000	0.000
0.300	-2.000	0.000	0.000
0.260	-2.000	0.000	0.000
0.220	-2.000	0.000	0.000
0.180	-2.000	0.000	0.000
0.140	-2.000	0.000	0.000
