T	<e>	d<e>	cv
4.100	-0.123	0.022	0.031
4.060	-0.126	0.023	0.033
4.020	-0.128	0.022	0.032
3.980	-0.128	0.024	0.037
3.940	-0.130	0.023	0.036
3.900	-0.132	0.024	0.039
3.860	-0.133	0.021	0.031
3.820	-0.135	0.023	0.037
3.780	-0.136	0.024	0.041
3.740	-0.137	0.022	0.035
3.700	-0.138	0.023	0.039
3.660	-0.138	0.023	0.042
3.620	-0.143	0.023	0.040
3.580	-0.143	0.023	0.042
3.540	-0.145	0.022	0.041
3.500	-0.148	0.023	0.045
3.460	-0.151	0.023	0.046
3.420	-0.151	0.022	0.042
3.380	-0.153	0.023	0.047
3.340	-0.156	0.025	0.057
3.300	-0.159	0.024	0.053
3.260	-0.159	0.024	0.057
3.220	-0.163	0.022	0.050
3.180	-0.164	0.023	0.054
3.140	-0.166	0.023	0.054
3.100	-0.167	0.024	0.060
3.060	-0.169	0.023	0.056
3.020	-0.174	0.023	0.059
2.980	-0.177	0.023	0.063
2.940	-0.178	0.022	0.060
2.900	-0.183	0.024	0.072
2.860	-0.182	0.025	0.081
2.820	-0.186	0.025	0.082
2.780	-0.189	0.025	0.080
2.740	-0.194	0.024	0.079
2.700	-0.197	0.024	0.078
2.660	-0.198	0.024	0.085
2.620	-0.204	0.025	0.095
2.580	-0.207	0.025	0.093
2.540	-0.210	0.024	0.094
2.500	-0.212	0.025	0.103
2.460	-0.218	0.026	0.112
2.420	-0.221	0.026	0.115
2.380	-0.225	0.025	0.112
2.340	-0.229	0.025	0.114
2.300	-0.237	0.024	0.111
2.260	-0.242	0.027	0.146
2.220	-0.245	0.025	0.132
2.180	-0.253	0.025	0.133
2.140	-0.256	0.025	0.145
2.100	-0.263	0.025	0.146
2.060	-0.269	0.025	0.153
2.020	-0.277	0.026	0.165
1.980	-0.284	0.027	0.186
1.940	-0.288	0.027	0.196
1.900	-0.296	0.026	0.195
1.860	-0.307	0.026	0.195
1.820	-0.314	0.027	0.228
1.780	-0.320	0.027	0.232
1.740	-0.335	0.026	0.227
1.700	-0.342	0.029	0.294
1.660	-0.355	0.027	0.279
1.620	-0.364	0.028	0.313
1.580	-0.379	0.029	0.335
1.540	-0.389	0.029	0.374
1.500	-0.407	0.030	0.410
1.460	-0.425	0.028	0.386
1.420	-0.442	0.030	0.448
1.380	-0.468	0.033	0.584
1.340	-0.483	0.033	0.638
1.300	-0.509	0.034	0.692
1.260	-0.544	0.036	0.822
1.220	-0.577	0.037	0.941
1.180	-0.639	0.044	1.417
1.140	-0.709	0.040	1.247
1.100	-0.781	0.037	1.172
1.060	-0.822	0.032	0.937
1.020	-0.860	0.027	0.725
0.980	-0.889	0.025	0.640
0.940	-0.909	0.023	0.614
0.900	-0.930	0.018	0.412
0.860	-0.945	0.017	0.389
0.820	-0.957	0.014	0.284
0.780	-0.969	0.012	0.228
0.740	-0.977	0.010	0.199
0.700	-0.984	0.008	0.143
0.660	-0.989	0.007	0.109
0.620	-0.993	0.006	0.084
0.580	-0.995	0.004	0.052
0.540	-0.997	0.003	0.031
0.500	-0.999	0.002	0.019
0.460	-0.999	0.002	0.008
0.420	-1.000	0.001	0.006
0.380	-1.000	0.001	0.002
0.340	-1.000	0.000	0.001
0.300	-1.000	0.000	0.000
0.260	-1.000	0.000	0.000
0.220	-1.000	0.000	0.000
0.180	-1.000	0.000	0.000
0.140	-1.000	0.000	0.000
