T	<e>	d<e>	cv
4.100	-0.150	0.023	0.032
4.060	-0.048	0.023	0.032
4.020	-0.059	0.024	0.037
3.980	-0.052	0.023	0.033
3.940	-0.069	0.024	0.038
3.900	-0.068	0.024	0.040
3.860	-0.056	0.022	0.034
3.820	-0.055	0.024	0.042
3.780	-0.065	0.023	0.039
3.740	-0.058	0.024	0.041
3.700	-0.071	0.023	0.039
3.660	-0.076	0.024	0.042
3.620	-0.063	0.024	0.046
3.580	-0.078	0.025	0.048
3.540	-0.074	0.025	0.052
3.500	-0.083	0.025	0.052
3.460	-0.093	0.024	0.048
3.420	-0.082	0.023	0.046
3.380	-0.089	0.024	0.051
3.340	-0.099	0.023	0.049
3.300	-0.089	0.023	0.049
3.260	-0.110	0.024	0.057
3.220	-0.103	0.024	0.055
3.180	-0.110	0.024	0.059
3.140	-0.119	0.023	0.057
3.100	-0.113	0.024	0.061
3.060	-0.110	0.024	0.062
3.020	-0.117	0.024	0.066
2.980	-0.118	0.025	0.072
2.940	-0.137	0.024	0.068
2.900	-0.145	0.024	0.072
2.860	-0.119	0.025	0.080
2.820	-0.134	0.026	0.088
2.780	-0.132	0.023	0.069
2.740	-0.154	0.025	0.083
2.700	-0.156	0.025	0.085
2.660	-0.142	0.024	0.086
2.620	-0.171	0.025	0.094
2.580	-0.170	0.025	0.097
2.540	-0.173	0.025	0.097
2.500	-0.177	0.025	0.102
2.460	-0.181	0.026	0.116
2.420	-0.206	0.026	0.118
2.380	-0.203	0.025	0.116
2.340	-0.203	0.024	0.112
2.300	-0.216	0.026	0.132
2.260	-0.216	0.026	0.134
2.220	-0.227	0.026	0.140
2.180	-0.247	0.027	0.158
2.140	-0.252	0.026	0.151
2.100	-0.252	0.029	0.198
2.060	-0.273	0.027	0.175
2.020	-0.283	0.027	0.189
1.980	-0.290	0.028	0.203
1.940	-0.306	0.029	0.230
1.900	-0.316	0.029	0.230
1.860	-0.335	0.028	0.237
1.820	-0.344	0.027	0.231
1.780	-0.363	0.029	0.269
1.740	-0.378	0.031	0.329
1.700	-0.389	0.034	0.404
1.660	-0.422	0.030	0.341
1.620	-0.439	0.030	0.342
1.580	-0.449	0.032	0.410
1.540	-0.471	0.036	0.559
1.500	-0.509	0.039	0.675
1.460	-0.554	0.044	0.936
1.420	-0.597	0.047	1.111
1.380	-0.664	0.047	1.171
1.340	-0.715	0.050	1.443
1.300	-0.769	0.034	0.696
1.260	-0.811	0.029	0.538
1.220	-0.836	0.030	0.617
1.180	-0.870	0.027	0.538
1.140	-0.888	0.022	0.383
1.100	-0.912	0.020	0.321
1.060	-0.927	0.018	0.303
1.020	-0.942	0.015	0.220
0.980	-0.952	0.013	0.184
0.940	-0.964	0.011	0.156
0.900	-0.971	0.011	0.142
0.860	-0.978	0.010	0.127
0.820	-0.985	0.007	0.080
0.780	-0.989	0.006	0.074
0.740	-0.993	0.006	0.053
0.700	-0.994	0.004	0.047
0.660	-0.997	0.004	0.023
0.620	-0.998	0.003	0.015
0.580	-0.999	0.002	0.007
0.540	-0.998	0.002	0.011
0.500	-1.000	0.001	0.002
0.460	-1.000	0.001	0.002
0.420	-1.000	0.000	0.001
0.380	-1.000	0.000	0.000
0.340	-1.000	0.000	0.000
0.300	-1.000	0.000	0.000
0.260	-1.000	0.000	0.000
0.220	-1.000	0.000	0.000
0.180	-1.000	0.000	0.000
0.140	-1.000	0.000	0.000
