T	<e>	d<e>
2.200	-0.628	0.023
2.160	-0.634	0.025
2.120	-0.649	0.021
2.080	-0.653	0.023
2.040	-0.663	0.023
2.000	-0.670	0.025
1.960	-0.686	0.022
1.920	-0.692	0.027
1.880	-0.708	0.024
1.840	-0.716	0.026
1.800	-0.731	0.029
1.760	-0.741	0.023
1.720	-0.761	0.026
1.680	-0.769	0.028
1.640	-0.791	0.026
1.600	-0.801	0.025
1.560	-0.827	0.028
1.520	-0.842	0.028
1.480	-0.860	0.025
1.440	-0.884	0.028
1.400	-0.910	0.024
1.360	-0.931	0.030
1.320	-0.960	0.028
1.280	-0.987	0.029
1.240	-1.036	0.025
1.200	-1.056	0.028
1.160	-1.092	0.033
1.120	-1.150	0.027
1.080	-1.187	0.026
1.040	-1.259	0.027
1.000	-1.343	0.037
0.960	-1.380	0.030
0.920	-1.469	0.037
0.880	-1.552	0.023
0.840	-1.602	0.022
0.800	-1.646	0.020
0.760	-1.681	0.020
0.720	-1.718	0.017
0.680	-1.751	0.016
0.640	-1.781	0.015
0.600	-1.802	0.014
0.560	-1.830	0.010
0.520	-1.851	0.009
0.480	-1.867	0.008
0.440	-1.883	0.008
0.400	-1.896	0.005
0.360	-1.904	0.004
0.320	-1.909	0.003
0.280	-1.913	0.003
0.240	-1.915	0.002
