T	<e>	d<e>
2.200	-0.614	0.042
2.160	-0.637	0.010
2.120	-0.645	0.010
2.080	-0.656	0.012
2.040	-0.662	0.011
2.000	-0.674	0.013
1.960	-0.685	0.009
1.920	-0.694	0.012
1.880	-0.706	0.012
1.840	-0.719	0.013
1.800	-0.728	0.013
1.760	-0.739	0.012
1.720	-0.763	0.012
1.680	-0.769	0.013
1.640	-0.783	0.017
1.600	-0.804	0.013
1.560	-0.821	0.013
1.520	-0.840	0.013
1.480	-0.859	0.011
1.440	-0.883	0.014
1.400	-0.904	0.016
1.360	-0.924	0.010
1.320	-0.946	0.013
1.280	-0.982	0.016
1.240	-1.012	0.012
1.200	-1.082	0.023
1.160	-1.114	0.016
1.120	-1.150	0.016
1.080	-1.210	0.014
1.040	-1.258	0.016
1.000	-1.321	0.022
0.960	-1.395	0.021
0.920	-1.469	0.018
0.880	-1.552	0.015
0.840	-1.605	0.011
0.800	-1.649	0.014
0.760	-1.700	0.012
0.720	-1.734	0.011
0.680	-1.767	0.009
0.640	-1.801	0.008
0.600	-1.830	0.008
0.560	-1.859	0.005
0.520	-1.879	0.005
0.480	-1.899	0.005
0.440	-1.917	0.003
0.400	-1.931	0.003
0.360	-1.939	0.003
0.320	-1.948	0.002
0.280	-1.953	0.002
0.240	-1.956	0.001
