T	<e>	d<e>	cv
10.000	-0.260	0.049	0.024
9.901	-0.266	0.051	0.027
9.802	-0.265	0.048	0.024
9.703	-0.269	0.048	0.025
9.604	-0.270	0.048	0.026
9.505	-0.273	0.048	0.026
9.406	-0.272	0.048	0.027
9.307	-0.277	0.047	0.026
9.208	-0.282	0.049	0.029
9.109	-0.281	0.048	0.029
9.010	-0.285	0.049	0.030
8.911	-0.293	0.049	0.030
8.812	-0.293	0.048	0.030
8.713	-0.293	0.049	0.032
8.614	-0.296	0.047	0.030
8.515	-0.307	0.050	0.035
8.416	-0.307	0.047	0.032
8.317	-0.313	0.047	0.032
8.218	-0.312	0.048	0.034
8.119	-0.315	0.049	0.037
8.020	-0.318	0.044	0.031
7.921	-0.327	0.047	0.037
7.822	-0.325	0.047	0.037
7.723	-0.330	0.049	0.041
7.624	-0.331	0.045	0.035
7.525	-0.339	0.048	0.042
7.426	-0.341	0.046	0.040
7.327	-0.348	0.044	0.037
7.228	-0.352	0.046	0.042
7.129	-0.355	0.048	0.047
7.030	-0.358	0.048	0.048
6.931	-0.362	0.046	0.045
6.832	-0.373	0.047	0.049
6.733	-0.373	0.046	0.047
6.634	-0.382	0.051	0.061
6.535	-0.383	0.047	0.052
6.436	-0.393	0.048	0.056
6.337	-0.394	0.048	0.059
6.238	-0.401	0.046	0.056
6.139	-0.407	0.049	0.066
6.040	-0.412	0.046	0.058
5.941	-0.420	0.047	0.064
5.842	-0.428	0.045	0.061
5.743	-0.431	0.048	0.070
5.644	-0.445	0.050	0.079
5.545	-0.447	0.048	0.075
5.446	-0.456	0.048	0.078
5.347	-0.468	0.048	0.082
5.248	-0.470	0.049	0.088
5.149	-0.483	0.049	0.091
5.050	-0.495	0.047	0.089
4.951	-0.500	0.046	0.090
4.852	-0.513	0.047	0.097
4.753	-0.520	0.046	0.096
4.654	-0.532	0.048	0.111
4.555	-0.544	0.051	0.130
4.456	-0.558	0.048	0.121
4.357	-0.572	0.048	0.122
4.258	-0.580	0.049	0.134
4.159	-0.596	0.053	0.168
4.060	-0.615	0.054	0.178
3.961	-0.628	0.049	0.157
3.862	-0.647	0.050	0.174
3.763	-0.660	0.050	0.180
3.664	-0.677	0.051	0.198
3.565	-0.700	0.055	0.243
3.466	-0.727	0.051	0.220
3.367	-0.746	0.057	0.294
3.268	-0.771	0.052	0.263
3.169	-0.804	0.053	0.285
3.070	-0.827	0.056	0.338
2.971	-0.862	0.055	0.348
2.872	-0.904	0.057	0.407
2.773	-0.942	0.059	0.469
2.674	-0.995	0.060	0.524
2.575	-1.054	0.064	0.628
2.476	-1.099	0.058	0.568
2.377	-1.186	0.067	0.807
2.278	-1.283	0.082	1.315
2.179	-1.422	0.083	1.472
2.080	-1.569	0.072	1.218
1.981	-1.703	0.057	0.855
1.882	-1.776	0.049	0.693
1.783	-1.828	0.038	0.459
1.684	-1.870	0.033	0.387
1.585	-1.901	0.027	0.286
1.486	-1.933	0.021	0.212
1.387	-1.950	0.018	0.178
1.288	-1.967	0.015	0.138
1.189	-1.978	0.012	0.099
1.090	-1.986	0.009	0.075
0.991	-1.993	0.007	0.043
0.892	-1.996	0.005	0.024
0.793	-1.998	0.003	0.014
0.694	-1.999	0.002	0.005
0.595	-2.000	0.001	0.002
0.496	-2.000	0.000	0.000
0.397	-2.000	0.000	0.000
0.298	-2.000	0.000	0.000
0.199	-2.000	0.000	0.000
