T	<e>	d<e>	cv
4.100	-0.543	0.028	0.781
4.060	-0.548	0.014	0.182
4.020	-0.553	0.013	0.168
3.980	-0.560	0.013	0.186
3.940	-0.565	0.013	0.169
3.900	-0.575	0.013	0.180
3.860	-0.582	0.013	0.180
3.820	-0.591	0.013	0.193
3.780	-0.598	0.013	0.204
3.740	-0.606	0.013	0.195
3.700	-0.613	0.013	0.202
3.660	-0.625	0.014	0.242
3.620	-0.632	0.014	0.247
3.580	-0.641	0.012	0.197
3.540	-0.650	0.013	0.211
3.500	-0.660	0.013	0.231
3.460	-0.670	0.014	0.257
3.420	-0.681	0.013	0.252
3.380	-0.691	0.014	0.299
3.340	-0.701	0.014	0.296
3.300	-0.713	0.014	0.311
3.260	-0.726	0.014	0.296
3.220	-0.739	0.014	0.296
3.180	-0.751	0.013	0.294
3.140	-0.764	0.016	0.442
3.100	-0.781	0.015	0.360
3.060	-0.794	0.014	0.326
3.020	-0.808	0.015	0.421
2.980	-0.828	0.015	0.400
2.940	-0.841	0.015	0.439
2.900	-0.862	0.016	0.487
2.860	-0.878	0.016	0.523
2.820	-0.897	0.017	0.565
2.780	-0.918	0.017	0.643
2.740	-0.937	0.015	0.481
2.700	-0.962	0.017	0.651
2.660	-0.987	0.018	0.768
2.620	-1.014	0.015	0.551
2.580	-1.043	0.016	0.602
2.540	-1.075	0.017	0.774
2.500	-1.109	0.020	1.064
2.460	-1.139	0.018	0.917
2.420	-1.185	0.017	0.856
2.380	-1.228	0.017	0.834
2.340	-1.278	0.025	1.826
2.300	-1.328	0.019	1.165
2.260	-1.394	0.023	1.742
2.220	-1.446	0.019	1.214
2.180	-1.502	0.022	1.712
2.140	-1.566	0.018	1.175
2.100	-1.602	0.016	0.892
2.060	-1.639	0.015	0.857
2.020	-1.673	0.014	0.733
1.980	-1.701	0.013	0.693
1.940	-1.726	0.012	0.646
1.900	-1.753	0.012	0.616
1.860	-1.772	0.010	0.493
1.820	-1.794	0.010	0.449
1.780	-1.813	0.009	0.468
1.740	-1.831	0.009	0.419
1.700	-1.847	0.008	0.319
1.660	-1.860	0.007	0.335
1.620	-1.872	0.007	0.278
1.580	-1.884	0.006	0.252
1.540	-1.893	0.006	0.257
1.500	-1.901	0.005	0.215
1.460	-1.910	0.005	0.202
1.420	-1.917	0.005	0.182
1.380	-1.925	0.004	0.156
1.340	-1.930	0.004	0.128
1.300	-1.935	0.003	0.132
1.260	-1.940	0.003	0.138
1.220	-1.944	0.003	0.092
1.180	-1.946	0.003	0.087
1.140	-1.950	0.002	0.066
1.100	-1.953	0.002	0.107
1.060	-1.954	0.002	0.073
1.020	-1.957	0.002	0.075
0.980	-1.958	0.001	0.053
0.940	-1.960	0.001	0.071
0.900	-1.961	0.001	0.043
0.860	-1.962	0.001	-0.005
0.820	-1.963	0.001	0.035
0.780	-1.964	0.001	0.083
0.740	-1.964	0.001	0.043
0.700	-1.965	0.001	0.000
0.660	-1.966	0.000	0.027
0.620	-1.966	0.001	0.041
0.580	-1.967	0.000	-0.116
0.540	-1.967	0.000	0.295
0.500	-1.968	0.000	0.016
0.460	-1.968	0.000	0.000
0.420	-1.968	0.000	0.044
0.380	-1.969	0.000	-0.487
0.340	-1.969	0.000	-0.034
0.300	-1.969	0.000	0.000
0.260	-1.969	0.000	0.000
0.220	-1.969	0.000	0.000
0.180	-1.969	0.000	0.000
0.140	-1.969	0.000	0.000
