T	<e>	d<e>	cv
4.060	-0.547	0.006	0.141
4.020	-0.553	0.007	0.198
3.980	-0.560	0.007	0.184
3.940	-0.569	0.006	0.166
3.900	-0.575	0.007	0.224
3.860	-0.583	0.006	0.171
3.820	-0.590	0.007	0.225
3.780	-0.599	0.007	0.198
3.740	-0.606	0.006	0.179
3.700	-0.616	0.007	0.248
3.660	-0.624	0.007	0.214
3.620	-0.631	0.008	0.281
3.580	-0.639	0.006	0.201
3.540	-0.649	0.007	0.237
3.500	-0.661	0.006	0.208
3.460	-0.670	0.006	0.187
3.420	-0.679	0.006	0.194
3.380	-0.691	0.007	0.305
3.340	-0.703	0.007	0.287
3.300	-0.714	0.007	0.286
3.260	-0.727	0.007	0.278
3.220	-0.739	0.006	0.267
3.180	-0.748	0.007	0.274
3.140	-0.764	0.007	0.364
3.100	-0.778	0.007	0.357
3.060	-0.793	0.007	0.389
3.020	-0.808	0.007	0.371
2.980	-0.826	0.007	0.415
2.940	-0.842	0.007	0.374
2.900	-0.858	0.008	0.486
2.860	-0.876	0.008	0.472
2.820	-0.897	0.008	0.543
2.780	-0.916	0.008	0.489
2.740	-0.940	0.008	0.522
2.700	-0.964	0.008	0.619
2.660	-0.987	0.008	0.594
2.620	-1.013	0.008	0.541
2.580	-1.040	0.011	1.163
2.540	-1.076	0.008	0.644
2.500	-1.104	0.009	0.945
2.460	-1.136	0.009	0.960
2.420	-1.181	0.011	1.337
2.380	-1.216	0.009	0.970
2.340	-1.258	0.012	1.661
2.300	-1.314	0.013	2.209
2.260	-1.380	0.011	1.669
2.220	-1.433	0.012	2.032
2.180	-1.486	0.013	2.371
2.140	-1.542	0.013	2.542
2.100	-1.586	0.010	1.580
2.060	-1.631	0.009	1.138
2.020	-1.668	0.007	0.888
1.980	-1.703	0.007	0.885
1.940	-1.729	0.007	0.839
1.900	-1.760	0.007	0.779
1.860	-1.785	0.005	0.465
1.820	-1.809	0.006	0.651
1.780	-1.829	0.004	0.439
1.740	-1.851	0.005	0.542
1.700	-1.872	0.004	0.389
1.660	-1.885	0.004	0.329
1.620	-1.899	0.003	0.256
1.580	-1.910	0.003	0.300
1.540	-1.920	0.003	0.204
1.500	-1.929	0.003	0.250
1.460	-1.937	0.002	0.154
1.420	-1.945	0.002	0.163
1.380	-1.952	0.002	0.181
1.340	-1.957	0.002	0.174
1.300	-1.963	0.002	0.157
1.260	-1.967	0.002	0.118
1.220	-1.971	0.001	0.063
1.180	-1.974	0.001	0.090
1.140	-1.977	0.001	0.048
1.100	-1.979	0.001	0.103
1.060	-1.982	0.001	0.014
1.020	-1.983	0.001	0.105
0.980	-1.985	0.001	0.081
0.940	-1.987	0.001	0.018
0.900	-1.988	0.000	-0.019
0.860	-1.989	0.000	0.106
0.820	-1.990	0.000	-0.070
0.780	-1.991	0.000	-0.026
0.740	-1.992	0.000	0.171
0.700	-1.993	0.000	-0.191
0.660	-1.994	0.000	0.215
0.620	-1.996	0.000	-0.285
0.580	-1.998	0.001	-0.279
0.540	-2.000	0.000	0.054
0.500	-2.000	0.000	-0.062
0.460	-2.000	0.000	0.000
0.420	-2.000	0.000	0.000
0.380	-2.000	0.000	0.000
0.340	-2.000	0.000	0.000
0.300	-2.000	0.000	0.000
0.260	-2.000	0.000	0.000
0.220	-2.000	0.000	0.000
0.180	-2.000	0.000	0.000
0.140	-2.000	0.000	0.000
