T	<e>	d<e>	cv
4.100	-0.540	0.103	0.161
4.060	-0.547	0.103	0.163
4.020	-0.554	0.103	0.168
3.980	-0.561	0.104	0.174
3.940	-0.568	0.104	0.179
3.900	-0.575	0.104	0.182
3.860	-0.584	0.106	0.191
3.820	-0.589	0.106	0.197
3.780	-0.600	0.105	0.197
3.740	-0.606	0.106	0.204
3.700	-0.614	0.108	0.215
3.660	-0.624	0.107	0.218
3.620	-0.631	0.108	0.225
3.580	-0.641	0.108	0.231
3.540	-0.657	0.108	0.239
3.500	-0.659	0.108	0.245
3.460	-0.670	0.110	0.256
3.420	-0.680	0.110	0.265
3.380	-0.690	0.110	0.268
3.340	-0.702	0.111	0.283
3.300	-0.730	0.112	0.294
3.260	-0.728	0.113	0.307
3.220	-0.740	0.115	0.322
3.180	-0.754	0.116	0.338
3.140	-0.767	0.116	0.350
3.100	-0.781	0.118	0.368
3.060	-0.795	0.116	0.366
3.020	-0.810	0.118	0.392
2.980	-0.824	0.120	0.414
2.940	-0.838	0.120	0.430
2.900	-0.869	0.123	0.461
2.860	-0.887	0.125	0.488
2.820	-0.899	0.127	0.517
2.780	-0.920	0.129	0.544
2.740	-0.943	0.132	0.593
2.700	-0.970	0.134	0.627
2.660	-0.992	0.137	0.673
2.620	-1.024	0.144	0.769
2.580	-1.057	0.148	0.843
2.540	-1.083	0.150	0.883
2.500	-1.134	0.164	1.102
2.460	-1.169	0.166	1.155
2.420	-1.238	0.176	1.343
2.380	-1.281	0.181	1.475
2.340	-1.347	0.178	1.476
2.300	-1.402	0.179	1.553
2.260	-1.464	0.173	1.499
2.220	-1.520	0.164	1.392
2.180	-1.562	0.151	1.230
2.140	-1.623	0.138	1.062
2.100	-1.665	0.127	0.940
2.060	-1.715	0.121	0.881
2.020	-1.727	0.112	0.785
1.980	-1.760	0.102	0.675
1.940	-1.787	0.095	0.615
1.900	-1.807	0.090	0.568
1.860	-1.831	0.083	0.503
1.820	-1.852	0.076	0.443
1.780	-1.869	0.071	0.401
1.740	-1.883	0.067	0.375
1.700	-1.898	0.063	0.336
1.660	-1.911	0.058	0.296
1.620	-1.923	0.054	0.263
1.580	-1.934	0.049	0.227
1.540	-1.942	0.046	0.203
1.500	-1.951	0.042	0.174
1.460	-1.958	0.038	0.147
1.420	-1.968	0.035	0.129
1.380	-1.971	0.032	0.101
1.340	-1.969	0.028	0.085
1.300	-1.980	0.026	0.067
1.260	-1.985	0.023	0.056
1.220	-1.991	0.021	0.047
1.180	-1.983	0.018	0.027
1.140	-1.992	0.016	0.025
1.100	-1.994	0.014	0.017
1.060	-1.995	0.012	0.011
1.020	-1.997	0.010	0.008
0.980	-1.998	0.008	0.007
0.940	-1.999	0.008	0.006
0.900	-1.999	0.006	0.003
0.860	-1.999	0.005	0.002
0.820	-1.999	0.004	0.002
0.780	-2.000	0.003	0.001
0.740	-2.000	0.002	0.000
0.700	-1.997	0.004	-0.004
0.660	-2.000	0.001	0.000
0.620	-2.000	0.001	-0.000
0.580	-2.000	0.001	0.000
0.540	-2.000	0.000	-0.000
0.500	-2.000	0.000	0.000
0.460	-2.000	0.000	0.000
0.420	-2.000	0.000	0.000
0.380	-2.000	0.000	0.000
0.340	-2.000	0.000	0.000
0.300	-2.000	0.000	0.000
0.260	-2.000	0.000	0.000
0.220	-2.001	0.002	-0.003
0.180	-1.999	0.003	-0.009
0.140	-2.007	0.002	-0.698
