T	<e>	d<e>	cv
4.060	-0.546	0.003	0.120
4.020	-0.555	0.003	0.142
3.980	-0.561	0.004	0.262
3.940	-0.567	0.003	0.155
3.900	-0.574	0.003	0.157
3.860	-0.582	0.004	0.290
3.820	-0.589	0.004	0.224
3.780	-0.598	0.003	0.175
3.740	-0.606	0.004	0.337
3.700	-0.612	0.004	0.314
3.660	-0.624	0.004	0.341
3.620	-0.632	0.003	0.213
3.580	-0.640	0.004	0.273
3.540	-0.650	0.004	0.282
3.500	-0.660	0.004	0.291
3.460	-0.670	0.004	0.410
3.420	-0.680	0.003	0.174
3.380	-0.690	0.003	0.258
3.340	-0.702	0.003	0.235
3.300	-0.714	0.004	0.349
3.260	-0.727	0.005	0.647
3.220	-0.739	0.004	0.329
3.180	-0.749	0.005	0.603
3.140	-0.766	0.004	0.387
3.100	-0.780	0.006	1.019
3.060	-0.794	0.005	0.761
3.020	-0.808	0.006	1.151
2.980	-0.821	0.004	0.479
2.940	-0.839	0.004	0.588
2.900	-0.860	0.006	1.289
2.860	-0.878	0.006	1.236
2.820	-0.895	0.006	1.122
2.780	-0.914	0.007	1.508
2.740	-0.940	0.005	0.943
2.700	-0.960	0.005	0.754
2.660	-0.983	0.005	0.965
2.620	-1.010	0.007	1.721
2.580	-1.040	0.007	1.798
2.540	-1.067	0.005	1.167
2.500	-1.098	0.009	3.740
2.460	-1.136	0.009	3.165
2.420	-1.170	0.009	3.874
2.380	-1.211	0.008	2.709
2.340	-1.248	0.008	3.430
2.300	-1.292	0.013	8.182
2.260	-1.344	0.012	6.957
2.220	-1.390	0.011	6.480
2.180	-1.438	0.013	9.298
2.140	-1.491	0.014	10.782
2.100	-1.539	0.009	4.521
2.060	-1.577	0.008	4.286
2.020	-1.619	0.010	6.709
1.980	-1.656	0.008	3.842
1.940	-1.688	0.008	4.484
1.900	-1.719	0.007	3.480
1.860	-1.746	0.006	2.945
1.820	-1.771	0.004	1.566
1.780	-1.791	0.005	2.150
1.740	-1.810	0.005	1.879
1.700	-1.828	0.004	1.233
1.660	-1.844	0.003	0.862
1.620	-1.859	0.004	1.310
1.580	-1.872	0.002	0.601
1.540	-1.883	0.003	0.949
1.500	-1.894	0.002	0.694
1.460	-1.904	0.002	0.645
1.420	-1.913	0.002	0.713
1.380	-1.920	0.002	0.459
1.340	-1.928	0.002	0.418
1.300	-1.935	0.001	0.296
1.260	-1.940	0.001	0.315
1.220	-1.945	0.001	0.168
1.180	-1.949	0.001	0.314
1.140	-1.953	0.001	0.192
1.100	-1.956	0.001	0.000
1.060	-1.960	0.001	0.167
1.020	-1.962	0.001	0.180
0.980	-1.964	0.000	0.000
0.940	-1.966	0.000	0.000
0.900	-1.968	0.001	0.154
0.860	-1.969	0.000	0.000
0.820	-1.970	0.000	0.000
0.780	-1.971	0.000	0.205
0.740	-1.972	0.000	-0.114
0.700	-1.973	0.000	0.255
0.660	-1.973	0.000	0.143
0.620	-1.974	0.000	-0.325
0.580	-1.975	0.000	0.372
0.540	-1.976	0.000	0.214
0.500	-1.976	0.000	-0.250
0.460	-1.977	0.000	-1.181
0.420	-1.977	0.000	-0.354
0.380	-1.977	0.000	0.000
0.340	-1.977	0.000	0.541
0.300	-1.978	0.000	1.389
0.260	-1.978	0.000	0.000
0.220	-1.978	0.000	0.000
0.180	-1.978	0.000	-1.929
0.140	-1.978	0.000	-6.378
