T	<e>	d<e>	cv
4.100	-0.541	0.052	0.163
4.060	-0.546	0.051	0.160
4.020	-0.554	0.051	0.161
3.980	-0.560	0.051	0.171
3.940	-0.567	0.052	0.177
3.900	-0.576	0.051	0.178
3.860	-0.582	0.052	0.187
3.820	-0.591	0.053	0.196
3.780	-0.598	0.054	0.206
3.740	-0.604	0.053	0.202
3.700	-0.617	0.053	0.210
3.660	-0.623	0.053	0.217
3.620	-0.633	0.053	0.220
3.580	-0.641	0.055	0.240
3.540	-0.650	0.053	0.231
3.500	-0.659	0.054	0.243
3.460	-0.670	0.055	0.255
3.420	-0.682	0.055	0.269
3.380	-0.691	0.055	0.268
3.340	-0.702	0.055	0.277
3.300	-0.713	0.055	0.281
3.260	-0.725	0.057	0.309
3.220	-0.739	0.056	0.311
3.180	-0.753	0.058	0.338
3.140	-0.764	0.058	0.349
3.100	-0.779	0.059	0.371
3.060	-0.794	0.059	0.377
3.020	-0.809	0.058	0.382
2.980	-0.824	0.059	0.404
2.940	-0.842	0.061	0.436
2.900	-0.861	0.061	0.456
2.860	-0.878	0.061	0.462
2.820	-0.899	0.063	0.515
2.780	-0.917	0.064	0.547
2.740	-0.942	0.064	0.560
2.700	-0.962	0.064	0.578
2.660	-0.987	0.067	0.649
2.620	-1.009	0.066	0.650
2.580	-1.043	0.068	0.707
2.540	-1.072	0.069	0.766
2.500	-1.106	0.073	0.870
2.460	-1.143	0.075	0.950
2.420	-1.184	0.084	1.248
2.380	-1.243	0.088	1.398
2.340	-1.304	0.096	1.719
2.300	-1.368	0.097	1.805
2.260	-1.443	0.096	1.845
2.220	-1.532	0.081	1.357
2.180	-1.578	0.076	1.237
2.140	-1.622	0.069	1.078
2.100	-1.655	0.070	1.128
2.060	-1.698	0.062	0.919
2.020	-1.732	0.054	0.744
1.980	-1.760	0.052	0.723
1.940	-1.786	0.048	0.635
1.900	-1.809	0.046	0.604
1.860	-1.830	0.042	0.540
1.820	-1.851	0.039	0.470
1.780	-1.868	0.036	0.420
1.740	-1.883	0.034	0.392
1.700	-1.898	0.031	0.356
1.660	-1.911	0.029	0.322
1.620	-1.922	0.027	0.303
1.580	-1.933	0.025	0.268
1.540	-1.943	0.023	0.248
1.500	-1.951	0.021	0.220
1.460	-1.959	0.019	0.190
1.420	-1.965	0.018	0.175
1.380	-1.971	0.016	0.138
1.340	-1.976	0.014	0.114
1.300	-1.980	0.013	0.082
1.260	-1.984	0.012	0.062
1.220	-1.987	0.010	0.038
1.180	-1.990	0.009	0.024
1.140	-1.992	0.008	0.016
1.100	-1.994	0.007	0.007
1.060	-1.995	0.006	0.002
1.020	-1.997	0.005	0.000
0.980	-1.998	0.004	-0.000
0.940	-1.998	0.004	0.001
0.900	-1.999	0.003	0.001
0.860	-1.999	0.002	0.000
0.820	-2.000	0.002	0.000
0.780	-2.000	0.002	0.001
0.740	-2.000	0.001	0.000
0.700	-2.000	0.001	0.000
0.660	-2.000	0.001	-0.001
0.620	-2.000	0.000	0.000
0.580	-2.000	0.000	0.000
0.540	-2.000	0.000	-0.001
0.500	-2.000	0.000	-0.001
0.460	-2.000	0.000	0.000
0.420	-2.000	0.000	0.000
0.380	-2.000	0.000	0.000
0.340	-2.000	0.000	0.000
0.300	-2.000	0.000	0.000
0.260	-2.000	0.000	0.000
0.220	-2.000	0.000	0.000
0.180	-2.000	0.000	0.000
0.140	-2.000	0.000	0.000
